,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
CoC Number,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
FL-501,1292,1160,932,72.14%,960,316,16,201,663,629,0,103,0,960,828,644,67.08%,0,9,151,516,444,0,40,0,316,316,272,86.08%,50,147,169,0,47,0,16,16,16,100.00%,0,0,16,0,16,0,592,592,592,100.00%,146,472,120,0,68,22,1609,1609,1609,100.00%,146,501,1108,0,1096,0,370,87,87,7,8.05%,6,13,74,0,0,0
FL-502,1971,1835,1780,90.31%,1545,351,75,100,421,1511,39,196,57,1545,1409,1368,88.54%,0,13,77,382,1139,24,54,24,351,351,337,96.01%,23,39,297,15,92,33,75,75,75,100.00%,0,0,75,0,50,0,601,599,599,99.67%,140,511,90,0,71,0,1570,1535,1535,97.77%,94,323,1247,0,922,0,792,15,15,15,100.00%,0,0,15,0,15,0
FL-503,571,571,451,78.98%,270,301,0,68,296,266,9,0,9,270,270,234,86.67%,0,8,35,150,111,9,0,9,301,301,217,72.09%,33,146,155,0,0,0,0,0,0,.,0,0,0,0,0,0,70,70,70,100.00%,14,33,37,0,24,0,270,270,270,100.00%,42,143,127,0,117,0,43,0,0,0,.,0,0,0,0,0,0
FL-504,415,337,332,80.00%,136,279,0,67,300,110,5,9,86,136,58,58,42.65%,0,0,22,79,57,0,0,36,279,279,274,98.21%,45,221,53,5,9,50,0,0,0,.,0,0,0,0,0,0,94,94,94,100.00%,14,51,43,0,22,21,401,401,72,17.96%,14,78,323,0,330,61,67,56,56,56,100.00%,8,35,21,0,0,20
FL-505,134,110,110,82.09%,60,74,0,25,112,22,0,4,0,60,36,36,60.00%,0,0,14,38,22,0,4,0,74,74,74,100.00%,11,74,0,0,0,0,0,0,0,.,0,0,0,0,0,0,44,44,44,100.00%,12,36,8,0,4,0,231,231,52,22.51%,181,183,48,0,179,37,46,0,0,0,.,0,0,0,0,0,0
FL-506,637,532,500,78.49%,469,168,0,69,263,353,21,52,21,469,421,421,89.77%,0,173,42,201,252,16,0,16,168,111,79,47.02%,27,62,101,5,52,5,0,0,0,.,0,0,0,0,0,0,23,23,20,86.96%,1,3,20,0,23,0,486,486,460,94.65%,25,62,424,0,325,0,187,196,196,171,87.24%,48,116,80,0,0,0
FL-507,2058,1814,1376,66.86%,1325,733,0,194,898,1160,0,151,85,1325,1105,1006,75.92%,0,0,101,583,742,0,55,28,733,709,370,50.48%,93,315,418,0,96,57,0,0,0,.,0,0,0,0,0,0,836,836,836,100.00%,216,770,66,0,101,0,1464,1464,640,43.72%,44,98,1366,0,721,14,1267,426,426,426,100.00%,7,14,412,0,24,0
FL-508,353,244,244,69.12%,304,49,0,37,194,127,32,56,32,304,195,195,64.14%,260,16,6,159,113,32,12,32,49,49,49,100.00%,31,35,14,0,44,0,0,0,0,.,0,0,0,0,0,0,204,142,142,69.61%,67,177,27,0,41,0,811,811,768,94.70%,61,235,576,0,737,0,22,0,0,0,.,0,0,0,0,0,0
FL-509,230,177,169,73.48%,139,91,0,52,163,55,12,2,24,139,96,96,69.06%,0,309,37,123,4,12,0,12,91,81,73,80.22%,15,40,51,0,2,12,0,0,0,.,0,0,0,0,0,0,62,62,62,100.00%,13,42,20,0,32,0,370,370,262,70.81%,27,91,279,0,118,0,293,82,82,82,100.00%,29,76,6,0,0,0
FL-510,1564,1384,741,47.38%,1015,549,0,120,436,1094,34,68,99,1015,835,613,60.39%,0,0,108,391,590,34,18,34,549,549,128,23.32%,12,45,504,0,50,65,0,0,0,.,0,0,0,0,0,0,422,422,422,100.00%,93,261,161,0,180,0,1266,1266,678,53.55%,81,224,1042,0,588,0,1184,425,425,0,0.00%,0,0,425,0,16,0
FL-511,713,658,532,74.61%,270,443,0,32,206,507,0,43,12,270,215,167,61.85%,37,7,15,103,167,0,3,0,443,443,365,82.39%,17,103,340,0,40,12,0,0,0,.,0,0,0,0,0,0,133,133,132,99.25%,38,102,31,0,19,0,244,244,244,100.00%,0,0,244,0,182,0,65,81,81,0,0.00%,0,0,81,0,0,0
FL-512,184,114,114,61.96%,87,97,0,46,165,19,0,0,0,87,31,31,35.63%,0,8,18,68,19,0,0,0,97,83,83,85.57%,28,97,0,0,0,0,0,0,0,.,0,0,0,0,0,0,20,20,20,100.00%,5,17,3,0,0,0,0,0,0,.,0,0,0,0,0,0,0,28,28,28,100.00%,5,17,11,0,0,0
FL-513,617,554,469,76.01%,76,541,0,76,318,238,61,157,142,76,64,64,84.21%,0,21,10,40,16,20,0,40,541,490,405,74.86%,66,278,222,41,157,102,0,0,0,.,0,0,0,0,0,0,341,341,341,100.00%,51,171,170,0,112,0,212,212,212,100.00%,29,130,82,0,20,9,65,43,43,43,100.00%,12,43,0,0,0,0
FL-514,327,286,264,80.73%,171,156,0,44,175,128,24,60,50,171,130,130,76.02%,30,22,24,97,62,12,0,24,156,156,134,85.90%,20,78,66,12,60,26,0,0,0,.,0,0,0,0,0,0,10,10,10,100.00%,2,4,6,0,10,0,147,147,147,100.00%,67,75,72,0,131,10,6,20,20,20,100.00%,8,20,0,0,0,0
FL-515,148,124,124,83.78%,64,84,0,20,48,74,26,0,32,64,40,40,62.50%,0,0,6,20,24,20,0,20,84,84,84,100.00%,14,28,50,6,0,12,0,0,0,.,0,0,0,0,0,0,33,33,33,100.00%,17,17,16,0,7,0,60,60,60,100.00%,60,60,0,0,60,0,60,0,0,0,.,0,0,0,0,0,0
FL-517,66,36,31,46.97%,41,25,0,10,43,23,0,5,0,41,11,11,26.83%,0,0,8,37,4,0,0,0,25,25,20,80.00%,2,6,19,0,5,0,0,0,0,.,0,0,0,0,0,0,157,157,157,100.00%,48,155,2,0,0,0,68,68,18,26.47%,0,0,68,0,50,0,68,0,0,0,.,0,0,0,0,0,0
FL-518,119,49,49,41.18%,82,37,0,16,57,50,12,27,12,82,12,12,14.63%,0,5,16,57,13,12,0,12,37,37,37,100.00%,0,0,37,0,27,0,0,0,0,.,0,0,0,0,0,0,68,68,68,100.00%,16,44,24,0,17,27,92,92,11,11.96%,6,20,72,0,86,10,11,0,0,0,.,0,0,0,0,0,0
FL-519,302,230,184,60.93%,172,130,0,26,172,110,20,39,20,172,100,54,31.40%,0,10,4,92,60,20,15,20,130,130,130,100.00%,22,80,50,0,24,0,0,0,0,.,0,0,0,0,0,0,159,159,159,100.00%,13,99,60,0,62,0,210,210,210,100.00%,79,95,115,0,149,0,0,20,20,20,100.00%,1,9,11,0,0,0
FL-520,408,298,290,71.08%,212,196,0,62,204,202,2,29,18,212,108,108,50.94%,0,157,30,116,94,2,18,2,196,190,182,92.86%,32,88,108,0,11,16,0,0,0,.,0,0,0,0,0,0,141,141,117,82.98%,30,110,31,0,31,0,84,84,84,100.00%,7,25,59,0,42,0,43,10,10,10,100.00%,0,0,10,0,0,0
FL-600,2683,2203,2183,81.36%,1903,724,56,301,1282,1391,10,78,49,1903,1754,1734,91.12%,0,17,227,951,942,10,0,17,724,393,393,54.28%,74,331,393,0,50,32,56,56,56,100.00%,0,0,56,0,28,0,1161,1161,1161,100.00%,228,920,241,0,129,48,4625,4625,4036,87.26%,632,2297,2328,0,824,0,2268,146,146,126,86.30%,0,0,146,0,0,0
FL-601,1639,1524,1229,74.98%,875,729,35,120,465,1153,21,40,104,875,760,694,79.31%,0,67,58,267,588,20,0,63,729,729,500,68.59%,62,198,530,1,40,41,35,35,35,100.00%,0,0,35,0,0,0,899,899,888,98.78%,200,725,174,0,158,0,2207,2207,1727,78.25%,143,533,1674,0,521,0,643,107,107,82,76.64%,26,78,29,0,82,0
