coc_code,coc_name,perc_change_2014_2018,rank_perc_change_2014_2018,overall_homeless_2014,overall_homeless_2018
tn-506,upper cumberland coc,-0.24561403508771928,275,342,258
ca-522,humboldt county coc,-0.24570815450643776,276,932,703
al-504,montgomery city & county coc,-0.24693877551020407,277,490,369
fl-511,"pensacola/escambia, santa rosa counties coc",-0.25029655990510086,278,843,632
nj-507,new brunswick/middlesex county coc,-0.25561097256857856,279,802,597
la-506,slidell/southeast louisiana coc,-0.2595419847328244,280,262,194
il-511,cook county coc,-0.2614213197969543,281,1182,873
il-508,"east st. louis, belleville/st. clair county coc",-0.26253687315634217,282,339,250
ga-506,marietta/cobb county coc,-0.26577437858508607,283,523,384
nc-504,"greensboro, high point coc",-0.26755852842809363,284,897,657
tn-501,memphis/shelby county coc,-0.26805970149253733,285,1675,1226
mo-600,"springfield/greene, christian, webster counties coc",-0.2698170731707317,286,656,479
ar-503,arkansas  balance of state  coc,-0.2727272727272727,287,1056,768
nv-502,nevada balance of state coc,-0.27297297297297296,288,370,269
md-600,prince george's county coc,-0.2746585735963581,289,659,478
sc-501,"greenville, anderson, spartanburg/upstate coc",-0.2756723716381418,290,1636,1185
va-502,"roanoke city & county, salem coc",-0.27954545454545454,291,440,317
va-500,"richmond/henrico, chesterfield, hanover counties coc",-0.2801418439716312,292,846,609
tx-603,el paso city & county coc,-0.2920634920634921,293,1260,892
ny-505,"syracuse, auburn/onondaga, oswego, cayuga counties coc",-0.294921875,294,1024,722
ky-501,louisville-jefferson county coc,-0.29635258358662614,295,1316,926
oh-504,youngstown/mahoning county coc,-0.296875,296,256,180
ks-507,kansas balance of state coc,-0.297628156082632,297,1307,918
ca-504,"santa rosa, petaluma/sonoma county coc",-0.2977027660571964,298,4266,2996
mo-501,st.louis city coc,-0.29911373707533234,299,1354,949
mi-505,flint/genesee county coc,-0.3102362204724409,300,635,438
ct-503,"bridgeport, stamford, norwalk/fairfield county coc",-0.3157894736842105,301,1083,741
ca-606,long beach coc,-0.31592403214024833,302,2738,1873
pa-601,western pennsylvania coc,-0.3206176203451408,303,1101,748
al-500,"birmingham/jefferson, st. clair, shelby counties coc",-0.3220466516177577,304,1329,901
il-502,"waukegan, north chicago/lake county coc",-0.32273838630806845,305,409,277
nj-513,somerset county coc,-0.32507739938080493,306,323,218
vt-501,burlington/chittenden county coc,-0.325187969924812,307,532,359
oh-506,"akron, barberton/summit county coc",-0.3252873563218391,308,870,587
ca-520,merced city & county coc,-0.3307291666666667,309,768,514
mi-518,livingston county coc,-0.3333333333333333,310,135,90
pa-504,"lower merion, norristown, abington/montgomery county coc",-0.3356164383561644,311,438,291
ma-511,"quincy, brockton, weymouth, plymouth city and county coc",-0.3365794278758369,312,1643,1090
md-507,cecil county coc,-0.3384615384615385,313,195,129
md-500,cumberland/allegany county coc,-0.3416666666666667,314,120,79
ca-508,watsonville/santa cruz city & county coc,-0.3425899688296968,315,3529,2320
la-509,louisiana balance of state coc,-0.3436073059360731,316,876,575
ny-522,"jefferson, lewis, st. lawrence counties coc",-0.35570469798657717,317,149,96
mi-501,detroit coc,-0.35789473684210527,318,2755,1769
ga-500,atlanta coc,-0.3587658953512612,319,4797,3076
tn-507,jackson/west tennessee coc,-0.3591505309181761,320,1601,1026
az-501,tucson/pima county coc,-0.3666819642037632,321,2179,1380
il-516,decatur/macon county coc,-0.37109375,322,256,161
ca-509,mendocino county coc,-0.3732193732193732,323,1404,880
il-501,"rockford/winnebago, boone counties coc",-0.375609756097561,324,410,256
fl-514,ocala/marion county coc,-0.3769063180827887,325,918,572
or-507,clackamas county coc,-0.3802588996763754,326,618,383
ca-512,daly/san mateo county coc,-0.3883399209486166,327,2024,1238
il-504,madison county coc,-0.39166666666666666,328,240,146
tn-509,appalachian regional coc,-0.3979933110367893,329,598,360
fl-508,"gainesville/alachua, putnam counties coc",-0.3980891719745223,330,1256,756
la-503,new orleans/jefferson parish coc,-0.40030287733467945,331,1981,1188
mi-500,michigan balance of state coc,-0.40390590324012426,332,2253,1343
fl-509,"fort pierce/st. lucie, indian river, martin counties coc",-0.4048629872636048,333,2591,1542
mo-503,"st. charles city & county, lincoln, warren counties coc",-0.40625,334,896,532
mi-512,"grand traverse, antrim, leelanau counties coc",-0.4065656565656566,335,396,235
nj-503,"camden city & county/gloucester, cape may, cumberland counties coc",-0.41061946902654867,336,1695,999
ma-516,massachusetts balance of state coc,-0.4112820512820513,337,3900,2296
ms-501,mississippi balance of state coc,-0.4129979035639413,338,954,560
mi-519,holland/ottawa county coc,-0.4160206718346253,339,387,226
wi-501,milwaukee city & county coc,-0.418945963975984,340,1499,871
il-512,bloomington/central illinois coc,-0.42152466367713004,341,669,387
la-502,"shreveport, bossier/northwest louisiana coc",-0.42748091603053434,342,655,375
ga-504,augusta-richmond county coc,-0.4300847457627119,343,472,269
nj-508,monmouth county coc,-0.4302721088435374,344,588,335
nc-511,fayetteville/cumberland county coc,-0.43032159264931086,345,653,372
nj-510,lakewood township/ocean county coc,-0.4354066985645933,346,627,354
