field_1,location,date_full,month,day,year,coordinates,latitude,longitude,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"34",700 3rd Street NW,2/25/16,February,"25","2016","38.898325, -77.015232","38.898325","-77.015232","11","001","005900","11001005900","59",Census Tract 59,G5020,S,"642061","0","+38.8959946","-077.0149469"
"35",3rd Street Tunnel,3/1/16,March,"1","2016","38.893132, -77.014034","38.893132","-77.014034","11","001","005900","11001005900","59",Census Tract 59,G5020,S,"642061","0","+38.8959946","-077.0149469"
"36",3rd Street Tunnel,3/2/16,March,"2","2016","38.893132, -77.014034","38.893132","-77.014034","11","001","005900","11001005900","59",Census Tract 59,G5020,S,"642061","0","+38.8959946","-077.0149469"
"41",3rd Street and G Street NW,4/18/16,April,"18","2016","38.898328, -77.015230","38.898328","-77.01523","11","001","005900","11001005900","59",Census Tract 59,G5020,S,"642061","0","+38.8959946","-077.0149469"
"59",3rd Street Tunnel,9/13/16,September,"13","2016","38.893132, -77.014034","38.893132","-77.014034","11","001","005900","11001005900","59",Census Tract 59,G5020,S,"642061","0","+38.8959946","-077.0149469"
"80",3rd Street Tunnel,1/26/17,January,"26","2017","38.893132, -77.014034","38.893132","-77.014034","11","001","005900","11001005900","59",Census Tract 59,G5020,S,"642061","0","+38.8959946","-077.0149469"
"90",3rd Street Tunnel,3/27/17,March,"27","2017","38.893132, -77.014034","38.893132","-77.014034","11","001","005900","11001005900","59",Census Tract 59,G5020,S,"642061","0","+38.8959946","-077.0149469"
"108",2nd Street and D Street NW,5/30/17,May,"30","2017","38.894785, -77.013682","38.894785","-77.013682","11","001","005900","11001005900","59",Census Tract 59,G5020,S,"642061","0","+38.8959946","-077.0149469"
"112",3rd Street Tunnel,6/15/17,June,"15","2017","38.893132, -77.014034","38.893132","-77.014034","11","001","005900","11001005900","59",Census Tract 59,G5020,S,"642061","0","+38.8959946","-077.0149469"
"120",3rd Street and G Street NW,8/22/17,August,"22","2017","38.898328, -77.015230","38.898328","-77.01523","11","001","005900","11001005900","59",Census Tract 59,G5020,S,"642061","0","+38.8959946","-077.0149469"
"145",3rd Street Tunnel,12/19/17,December,"19","2017","38.893132, -77.014034","38.893132","-77.014034","11","001","005900","11001005900","59",Census Tract 59,G5020,S,"642061","0","+38.8959946","-077.0149469"
"147",3rd Street Tunnel,12/22/17,December,"22","2017","38.893132, -77.014034","38.893132","-77.014034","11","001","005900","11001005900","59",Census Tract 59,G5020,S,"642061","0","+38.8959946","-077.0149469"
"156",441 4th Street NW,2/15/18,February,"15","2018","38.895472, -77.016178","38.895472","-77.016178","11","001","005900","11001005900","59",Census Tract 59,G5020,S,"642061","0","+38.8959946","-077.0149469"
